ts,datetime,volumeto_HitBTC,volumefrom_HitBTC,volumeto_KuCoin,volumefrom_KuCoin,volumeto_Coinex,volumefrom_Coinex,volumeto_BitMart,volumefrom_BitMart,volumeto_Binance,volumefrom_Binance,volumefrom_Poloniex: OMG,volumeto_Poloniex: OMG,HitBTC,KuCoin,Coinex,BitMart,Binance,Poloniex: OMG
1514772000,2018-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12061445097667378,0.11126076008666619,119.54903277,119.54903277,0.0,0.0,0.0,0.0,-0.000642776795757638,0.05831991061193098
1514779200,2018-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07293958368590281,0.06761869631659367,-0.7553767653510473,-0.7553767653510473,0.0,0.0,0.0,0.0,0.004823926676314372,0.0043876487687160015
1514786400,2018-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012460567823343816,-0.008055201824266334,-0.05405078406828101,-0.05405078406828101,0.0,0.0,0.0,0.0,-0.005600896143382772,-0.015426199967236376
1514793600,2018-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2956396741734547,-0.29279992038612723,-0.42814501310617914,-0.42814501310617914,0.0,0.0,0.0,0.0,-0.00016092693916969214,0.007320928426832518
1514800800,2018-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05102040816326525,-0.04870326330157748,2.6823659614570623,2.6823659614570623,0.0,0.0,0.0,0.0,-0.005150490906164484,0.024638678596008212
1514808000,2018-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22437275985663074,0.2200970385491554,-0.4206952290627817,-0.4206952290627817,0.0,0.0,0.0,0.0,0.007280375343795331,-0.02740462117141318
1514815200,2018-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38329430132708797,0.39765521756525746,1.1705943470063014,1.1705943470063014,0.0,0.0,0.0,0.0,-0.013813042081593285,-0.023860497237569223
1514822400,2018-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1419300225733634,-0.1408396946564886,-0.12748989113936782,-0.12748989113936782,0.0,0.0,0.0,0.0,0.002931596091205302,0.018783826806749504
1514829600,2018-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22837882275567245,-0.22612172367836514,-0.5913423578513248,-0.5913423578513248,0.0,0.0,0.0,0.0,-0.001786294251380327,-0.015277777777777835
1514836800,2018-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3850415512465375,0.38402828514768816,0.658492055578487,0.658492055578487,0.0,0.0,0.0,0.0,-0.00520579144298039,-0.0039844851904090595
1514844000,2018-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2987692307692308,-0.3050535901134017,-0.31489424584280656,-0.31489424584280656,0.0,0.0,0.0,0.0,0.017661488143908555,0.014621021701419767
1514851200,2018-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0802983764809126,1.0509210276443937,-0.427058240309932,-0.427058240309932,0.0,0.0,0.0,0.0,0.0028924955809095376,-0.015296580600139498
