ts,HitBTC,KuCoin,Coinex,BitMart,Binance,Poloniex: OMG
1514772000,0.0,0.0,0.0,0.0,9.0,1.0
1514779200,0.0,0.0,0.0,0.0,62.0,7.0
1514786400,0.0,0.0,0.0,0.0,15.0,1.0
1514793600,0.0,0.0,0.0,0.0,4.0,1.0
1514800800,0.0,0.0,0.0,0.0,16.0,1.0
1514808000,0.0,0.0,0.0,0.0,5.0,1.0
1514815200,0.0,4.0,0.0,0.0,7.0,3.0
1514822400,0.0,0.0,0.0,0.0,10.0,3.0
1514829600,0.0,0.0,0.0,0.0,1.0,3.0
1514836800,0.0,0.0,0.0,0.0,9.0,3.0
1514844000,0.0,0.0,0.0,0.0,9.0,4.0
1514851200,0.0,0.0,0.0,0.0,6.0,0.0
1514858400,0.0,0.0,0.0,0.0,13.0,3.0
1514865600,0.0,0.0,0.0,0.0,7.0,0.0
1514872800,0.0,0.0,0.0,0.0,9.0,2.0
1514880000,0.0,0.0,0.0,0.0,18.0,2.0
1514887200,0.0,0.0,0.0,0.0,6.0,0.0
1514894400,0.0,0.0,0.0,0.0,12.0,2.0
1514901600,0.0,0.0,0.0,0.0,11.0,1.0
1514908800,0.0,0.0,0.0,0.0,32.0,2.0
1514916000,0.0,0.0,0.0,0.0,22.0,8.0
1514923200,0.0,0.0,0.0,0.0,14.0,1.0
1514930400,0.0,0.0,0.0,0.0,13.0,1.0
1514937600,0.0,0.0,0.0,0.0,11.0,4.0
1514944800,0.0,0.0,0.0,0.0,16.0,3.0
1514952000,0.0,0.0,0.0,0.0,10.0,1.0
1514959200,0.0,0.0,0.0,0.0,15.0,1.0
1514966400,0.0,0.0,0.0,0.0,9.0,3.0
1514973600,0.0,0.0,0.0,0.0,13.0,4.0
1514980800,0.0,0.0,0.0,0.0,10.0,6.0
1514988000,0.0,0.0,0.0,0.0,10.0,4.0
1514995200,0.0,0.0,0.0,0.0,10.0,1.0
1515002400,0.0,0.0,0.0,0.0,11.0,8.0
1515009600,0.0,0.0,0.0,0.0,8.0,5.0
1515016800,0.0,0.0,0.0,0.0,12.0,7.0
1515024000,0.0,0.0,0.0,0.0,13.0,5.0
1515031200,0.0,0.0,0.0,0.0,17.0,4.0
1515038400,0.0,19.0,0.0,0.0,0.0,4.0
1515045600,0.0,0.0,0.0,0.0,8.0,8.0
1515052800,0.0,0.0,0.0,0.0,20.0,6.0
1515060000,0.0,0.0,0.0,0.0,17.0,1.0
1515067200,0.0,0.0,0.0,0.0,13.0,1.0
1515074400,0.0,0.0,0.0,0.0,9.0,6.0
1515081600,0.0,0.0,0.0,0.0,11.0,2.0
1515088800,0.0,0.0,0.0,0.0,7.0,3.0
1515096000,0.0,0.0,0.0,0.0,9.0,2.0
1515103200,0.0,0.0,0.0,0.0,4.0,10.0
1515110400,0.0,0.0,0.0,0.0,7.0,7.0
1515117600,0.0,0.0,0.0,0.0,6.0,7.0
1515124800,0.0,0.0,0.0,0.0,9.0,4.0
1515132000,0.0,0.0,0.0,0.0,9.0,3.0
1515139200,0.0,0.0,0.0,0.0,5.0,13.0
1515146400,0.0,0.0,0.0,0.0,12.0,1.0
1515153600,0.0,0.0,0.0,0.0,10.0,4.0
1515160800,0.0,0.0,0.0,0.0,5.0,0.0
1515168000,0.0,0.0,0.0,0.0,10.0,3.0
1515175200,0.0,0.0,0.0,0.0,12.0,3.0
1515182400,0.0,0.0,0.0,0.0,9.0,1.0
1515189600,0.0,0.0,0.0,0.0,2.0,0.0
1515196800,0.0,0.0,0.0,0.0,7.0,0.0
1515204000,0.0,0.0,0.0,0.0,5.0,0.0
1515211200,0.0,0.0,0.0,0.0,31.0,0.0
1515218400,0.0,0.0,0.0,0.0,5.0,0.0
1515225600,0.0,0.0,0.0,0.0,7.0,0.0
1515232800,0.0,0.0,0.0,0.0,17.0,0.0
1515240000,0.0,0.0,0.0,0.0,5.0,0.0
1515247200,0.0,0.0,0.0,0.0,16.0,0.0
1515254400,0.0,10.0,0.0,0.0,10.0,0.0
1515261600,0.0,0.0,0.0,0.0,9.0,0.0
1515268800,0.0,0.0,0.0,0.0,16.0,0.0
1515276000,0.0,0.0,0.0,0.0,7.0,0.0
1515283200,0.0,0.0,0.0,0.0,7.0,0.0
1515290400,0.0,0.0,0.0,0.0,11.0,0.0
1515297600,0.0,0.0,0.0,0.0,7.0,0.0
1515304800,0.0,0.0,0.0,0.0,24.0,0.0
1515312000,0.0,0.0,0.0,0.0,31.0,0.0
1515319200,0.0,0.0,0.0,0.0,25.0,7.0
1515326400,0.0,0.0,0.0,0.0,31.0,3.0
1515333600,0.0,47.0,0.0,0.0,36.0,3.0
1515340800,0.0,0.0,0.0,0.0,51.0,12.0
1515348000,0.0,0.0,0.0,0.0,64.0,7.0
1515355200,0.0,0.0,0.0,0.0,20.0,3.0
1515362400,0.0,0.0,0.0,0.0,25.0,3.0
1515369600,0.0,0.0,0.0,0.0,38.0,6.0
1515376800,0.0,0.0,0.0,0.0,16.0,3.0
1515384000,0.0,0.0,0.0,0.0,31.0,5.0
1515391200,0.0,0.0,0.0,0.0,9.0,5.0
1515398400,0.0,0.0,0.0,0.0,5.0,3.0
1515405600,0.0,66.0,0.0,0.0,9.0,4.0
1515412800,0.0,0.0,0.0,0.0,30.0,8.0
1515420000,0.0,0.0,0.0,0.0,59.0,2.0
1515427200,0.0,0.0,0.0,0.0,28.0,4.0
1515434400,0.0,53.0,0.0,0.0,27.0,3.0
1515441600,0.0,0.0,0.0,0.0,5.0,3.0
1515448800,0.0,0.0,0.0,0.0,11.0,5.0
1515456000,0.0,0.0,0.0,0.0,8.0,2.0
1515463200,0.0,0.0,0.0,0.0,7.0,3.0
1515470400,0.0,0.0,0.0,0.0,36.0,2.0
1515477600,0.0,0.0,0.0,0.0,5.0,0.0
1515484800,0.0,0.0,0.0,0.0,8.0,1.0
1515492000,0.0,0.0,0.0,0.0,22.0,3.0
1515499200,0.0,0.0,0.0,0.0,11.0,4.0
1515506400,0.0,0.0,0.0,0.0,13.0,3.0
1515513600,0.0,0.0,0.0,0.0,10.0,1.0
1515520800,0.0,0.0,0.0,0.0,5.0,0.0
1515528000,0.0,0.0,0.0,0.0,3.0,1.0
1515535200,0.0,0.0,0.0,0.0,14.0,4.0
1515542400,0.0,0.0,0.0,0.0,6.0,5.0
1515549600,0.0,0.0,0.0,0.0,11.0,7.0
1515556800,0.0,0.0,0.0,0.0,9.0,2.0
1515564000,0.0,58.0,0.0,0.0,3.0,2.0
1515571200,0.0,0.0,0.0,0.0,16.0,1.0
1515578400,0.0,0.0,0.0,0.0,3.0,2.0
1515585600,0.0,0.0,0.0,0.0,5.0,2.0
1515592800,0.0,36.0,0.0,0.0,13.0,4.0
1515600000,0.0,0.0,0.0,0.0,20.0,1.0
1515607200,0.0,0.0,0.0,0.0,3.0,4.0
1515614400,0.0,0.0,0.0,0.0,15.0,6.0
1515621600,0.0,0.0,0.0,0.0,4.0,2.0
1515628800,0.0,0.0,0.0,0.0,11.0,1.0
1515636000,0.0,0.0,0.0,0.0,10.0,1.0
1515643200,0.0,0.0,0.0,0.0,8.0,1.0
1515650400,0.0,0.0,0.0,0.0,9.0,1.0
1515657600,0.0,67.0,0.0,0.0,6.0,3.0
1515664800,0.0,0.0,0.0,0.0,12.0,1.0
1515672000,0.0,0.0,0.0,0.0,9.0,3.0
1515679200,0.0,0.0,0.0,0.0,10.0,0.0
1515686400,0.0,0.0,0.0,0.0,11.0,0.0
1515693600,0.0,0.0,0.0,0.0,6.0,0.0
1515700800,0.0,0.0,0.0,0.0,15.0,0.0
1515708000,0.0,0.0,0.0,0.0,16.0,0.0
1515715200,0.0,0.0,0.0,0.0,21.0,0.0
1515722400,0.0,0.0,0.0,0.0,11.0,0.0
1515729600,0.0,0.0,0.0,0.0,3.0,0.0
1515736800,0.0,0.0,0.0,0.0,3.0,0.0
1515744000,0.0,0.0,0.0,0.0,8.0,0.0
1515751200,0.0,0.0,0.0,0.0,7.0,0.0
1515758400,0.0,0.0,0.0,0.0,4.0,0.0
1515765600,0.0,0.0,0.0,0.0,3.0,0.0
1515772800,0.0,0.0,0.0,0.0,26.0,0.0
1515780000,0.0,0.0,0.0,0.0,16.0,0.0
1515787200,0.0,0.0,0.0,0.0,7.0,0.0
1515794400,0.0,0.0,0.0,0.0,2.0,0.0
1515801600,0.0,0.0,0.0,0.0,9.0,0.0
1515808800,0.0,0.0,0.0,0.0,0.0,0.0
1515816000,0.0,0.0,0.0,0.0,0.0,0.0
1515823200,0.0,0.0,0.0,0.0,8.0,0.0
1515830400,0.0,0.0,0.0,0.0,8.0,0.0
1515837600,0.0,0.0,0.0,0.0,13.0,0.0
1515844800,0.0,0.0,0.0,0.0,2.0,0.0
1515852000,0.0,0.0,0.0,0.0,11.0,0.0
1515859200,0.0,0.0,0.0,0.0,4.0,0.0
1515866400,0.0,0.0,0.0,0.0,4.0,0.0
1515873600,0.0,46.0,0.0,0.0,7.0,0.0
1515880800,0.0,0.0,0.0,0.0,26.0,0.0
1515888000,0.0,0.0,0.0,0.0,2.0,0.0
1515895200,0.0,0.0,0.0,0.0,2.0,0.0
1515902400,0.0,0.0,0.0,0.0,0.0,0.0
1515909600,0.0,0.0,0.0,0.0,0.0,0.0
1515916800,0.0,0.0,0.0,0.0,4.0,0.0
1515924000,0.0,0.0,0.0,0.0,0.0,0.0
1515931200,0.0,0.0,0.0,0.0,3.0,0.0
1515938400,0.0,0.0,0.0,0.0,6.0,0.0
1515945600,0.0,0.0,0.0,0.0,5.0,0.0
1515952800,0.0,0.0,0.0,0.0,7.0,0.0
1515960000,0.0,0.0,0.0,0.0,6.0,0.0
1515967200,0.0,0.0,0.0,0.0,10.0,0.0
1515974400,0.0,0.0,0.0,0.0,4.0,0.0
1515981600,0.0,0.0,0.0,0.0,3.0,0.0
1515988800,0.0,0.0,0.0,0.0,4.0,0.0
1515996000,0.0,0.0,0.0,0.0,7.0,0.0
1516003200,0.0,0.0,0.0,0.0,4.0,0.0
1516010400,0.0,0.0,0.0,0.0,3.0,0.0
1516017600,0.0,0.0,0.0,0.0,6.0,0.0
1516024800,0.0,0.0,0.0,0.0,13.0,0.0
1516032000,0.0,0.0,0.0,0.0,27.0,0.0
1516039200,0.0,0.0,0.0,0.0,1.0,0.0
1516046400,0.0,0.0,0.0,0.0,0.0,0.0
1516053600,0.0,0.0,0.0,0.0,0.0,0.0
1516060800,0.0,0.0,0.0,0.0,0.0,0.0
1516068000,0.0,0.0,0.0,0.0,14.0,0.0
1516075200,0.0,0.0,0.0,0.0,9.0,0.0
1516082400,0.0,0.0,0.0,0.0,4.0,0.0
1516089600,0.0,0.0,0.0,0.0,10.0,0.0
1516096800,0.0,0.0,0.0,0.0,8.0,0.0
1516104000,0.0,0.0,0.0,0.0,5.0,0.0
1516111200,0.0,0.0,0.0,0.0,19.0,0.0
1516118400,0.0,0.0,0.0,0.0,20.0,0.0
1516125600,0.0,0.0,0.0,0.0,15.0,0.0
1516132800,0.0,0.0,0.0,0.0,6.0,0.0
1516140000,0.0,0.0,0.0,0.0,2.0,0.0
1516147200,0.0,0.0,0.0,0.0,1.0,0.0
1516154400,0.0,0.0,0.0,0.0,0.0,0.0
1516161600,0.0,0.0,0.0,0.0,2.0,0.0
1516168800,0.0,0.0,0.0,0.0,27.0,0.0
1516176000,0.0,0.0,0.0,0.0,23.0,0.0
1516183200,0.0,0.0,0.0,0.0,29.0,0.0
1516190400,0.0,0.0,0.0,0.0,1.0,0.0
1516197600,0.0,0.0,0.0,0.0,7.0,0.0
1516204800,0.0,0.0,0.0,0.0,20.0,0.0
1516212000,0.0,0.0,0.0,0.0,11.0,0.0
1516219200,0.0,0.0,0.0,0.0,7.0,0.0
1516226400,0.0,0.0,0.0,0.0,2.0,0.0
1516233600,0.0,0.0,0.0,0.0,1.0,0.0
1516240800,0.0,0.0,0.0,0.0,1.0,0.0
1516248000,0.0,0.0,0.0,0.0,1.0,0.0
